code,name,tmin,tmax,t10th,t90th,ppt,p10th,p90th,h10th,h90th,c10th,c90th,area5m
AZE,Azerbaijan,6.7,17.2,1.9,3.1,447,-58,3,2.7,6.2,-1.3,-1.3,19.97
UZB,Uzbekistan,5.8,18.3,2.0,3.0,206,-26,17,2.6,5.7,-1.1,-1.3,0.05
ERI,Eritrea,18.9,32.1,2.1,2.7,384,-55,26,6.6,14.4,-2.0,-2.4,3.12
POL,Poland,3.8,11.9,1.9,2.8,600,-12,64,2.3,4.8,-1.5,-1.7,1.68
KWT,Kuwait,18.5,32.2,2.2,3.1,121,-19,4,3.9,7.4,-1.5,-1.7,8.86
TGO,Togo,21.8,32.5,1.9,2.5,1168,-175,100,6.0,21.5,-2.4,-2.5,0.58
CYM,Cayman Islands,1.4,1.8,-122,39,11.2,18.4,-1.9,-1.7,60.28
EST,Estonia,1.5,8.7,2.2,3.2,626,33,93,2.1,4.8,-1.7,-1.8,3.35
MWI,Malawi,16.6,27.2,2.0,2.5,1181,-53,91,3.6,15.9,-2.1,-2.5,0.00
ESP,Spain,7.9,18.7,1.5,2.6,636,-112,-18,4.0,8.0,-1.9,-1.8,1.26
IRQ,Iraq,14.1,28.7,2.3,3.2,216,-38,-2,3.4,6.8,-1.5,-1.5,4.02
SLV,El Salvador,18.4,30.5,1.7,2.9,1724,-205,14,8.9,24.5,-2.2,-2.3,2.45
MLI,Mali,20.9,35.6,2.5,3.1,282,-142,43,5.5,12.8,-2.0,-2.5,0.00
LVA,Latvia,1.9,9.3,2.1,3.1,641,31,89,2.1,5.0,-1.7,-1.8,3.03
MLT,Malta,15.2,23.2,1.7,2.1,383,-67,-28,5.0,7.4,-2.2,-2.3,19.35
ABW,Aruba,1.5,2.1,-121,24,13.7,26.9,-2.9,-3.0,29.57
SLE,Sierra Leone,21.0,31.1,1.8,2.3,2526,-96,128,9.2,24.0,-2.7,-2.6,3.00
PAN,Panama,21.3,29.5,1.6,2.2,2692,-228,107,14.0,26.9,-2.9,-3.0,3.71
BHS,Bahamas The,19.8,29.9,1.4,1.7,1292,-96,74,10.2,16.2,-2.0,-1.9,71.99
SLB,Solomon Islands,21.7,29.6,1.4,1.7,3028,-107,314,21.6,27.0,-3.0,-3.0,11.54
NZL,New Zealand,6.0,15.1,1.1,1.7,1732,-44,53,4.1,7.9,-2.2,-2.1,2.74
MCO,Monaco,10.1,17.0,1.8,2.7,894,-114,1,4.0,6.8,-1.6,-1.7,100.00
ITA,Italy,9.5,17.4,1.8,2.6,832,-108,-11,4.0,6.7,-1.8,-1.8,5.19
JPN,Japan,7.0,15.3,1.8,2.3,1668,-47,80,3.5,6.0,-1.9,-2.2,5.88
KGZ,Kyrgyz Republic,-4.6,7.7,2.3,3.2,381,-32,35,3.1,6.6,-1.2,-1.4,0.00
ARM,Armenia,1.3,13.0,2.1,3.3,562,-75,-7,2.8,6.3,-1.3,-1.4,0.00
NCL,New Caledonia,19.1,25.2,1.4,1.7,1498,-122,118,7.2,12.2,-2.9,-2.8,8.03
ARE,United Arab Emirates,21.0,33.0,2.2,2.8,78,-26,17,4.2,9.4,-1.6,-2.0,4.64
ARG,Argentina,8.2,21.4,1.4,2.1,591,-57,52,2.9,6.5,-1.2,-1.3,1.23
SDN,Sudan,19.4,34.4,2.1,2.6,417,-69,44,5.2,16.6,-1.8,-2.2,0.09
BHR,Bahrain,20.5,33.8,2.1,3.0,83,-19,4,4.6,8.6,-1.5,-1.9,39.03
UGA,Uganda,16.6,29.0,2.1,2.3,1180,-13,224,6.4,25.6,-2.1,-2.8,0.00
PNG,Papua New Guinea,20.1,30.4,1.4,1.8,3142,-163,421,15.5,25.5,-2.8,-2.9,1.84
CUB,Cuba,20.4,30.0,1.4,1.8,1335,-108,39,10.5,17.6,-1.9,-1.8,12.67
